GLOBALID,OBJECTID,Traffic Calming ID,AssetID,Traffic Calming Category,Asset Code,Asset Owner,General Location,Install Year,Material,Asset Description,Asset Status,Location,Maintained By,Add Date,Modified Date,Source Date,Data Source,Source Accuracy,x,y
5b877ad8-4172-43cc-b588-b94a9dcf198f,268,TRCLM388,TRCLM388,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,OAKLAND RD,HRM,11/15/2021 6:31:51 PM,11/15/2021 6:35:31 PM,11/15/2021 4:00:00 AM,Traffic Management,,-7078358.7737,5564127.1985
9e3399af-99dd-4828-8fa4-551d27e7a7d5,269,TRCLM1508,TRCLM1508,VERTI,SPDHMP,HRM,ROW,2024,ASPH,,INS,Jubilee Rd,HRM,5/23/2023 5:53:46 PM,12/12/2024 11:45:19 PM,,,,-7080548.0248,5564833.8242
eb5fc05b-fac0-4f20-9004-eb41312c2253,270,TRCLM1559,TRCLM1559,VERTI,SPDCSH,HRM,ROW,2024,ASPH,,INS,Caldwell Rd,HRM,6/13/2023 8:45:00 PM,12/12/2024 10:42:48 PM,,,,-7065283.6495,5559764.9835
390411cb-402f-402e-836b-5940bf7d5336,271,TRCLM879,TRCLM879,VERTI,SPDHMP,HRM,ROW,2023,ASPH,,INS,MAJOR ST,HRM,12/8/2021 10:51:45 PM,5/9/2024 9:21:45 PM,,,,-7073810.7633,5572088.601
e67c2dab-96a4-448b-a789-47aa66cfbf5c,273,TRCLM1232,TRCLM1232,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,Adelaide Avenue,HRM,7/20/2022 9:08:53 PM,12/20/2024 8:01:14 PM,11/3/2022 12:33:50 PM,Traffic Management,,-7084806.7414,5567161.0432
c7257d2e-98bb-4b3b-9a3a-25026bfef462,275,TRCLM175,TRCLM175,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,LUNDY DR,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:26 PM,,Traffic Management,,-7067694.4276,5572803.6815
f472beeb-4dc9-49e5-a421-f37fdb540671,276,TRCLM163,TRCLM163,VERTI,SPDTBL,HRM,ROW,2020,ASPH,,INS,SANDY RUN,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7098298.0593,5584313.0093
d346692b-497c-4ecb-9de1-feb13cffcc1b,277,TRCLM608,TRCLM608,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ASHGROVE AVE,HRM,11/18/2021 7:59:55 PM,12/14/2022 6:52:51 PM,11/18/2021 4:00:00 AM,Traffic Management,,-7066853.4542,5569600.8873
189bd09e-c5d9-47c9-8161-5d4111492a15,278,TRCLM1291,TRCLM1291,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,Sinclair Street,HRM,8/2/2022 4:25:22 PM,12/13/2024 7:57:24 PM,,,,-7075484.8994,5570277.6933
2339a655-f6c5-4e65-b6c8-8f94d95d5001,280,TRCLM188,TRCLM188,VERTI,SPDHMP,HRM,ROW,2020,ASPH,,INS,KARELS DR,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:26 PM,,Traffic Management,,-7082238.7706,5593028.6827
