GLOBALID,OBJECTID,JUNCTION_ID,JUNCTION_TYPE,Segmentation Reason,Municipal Code,x,y
59743efe-bd0c-4378-b349-e03a0b8af4b7,82,7898,0,GSA,HRM,-7073527.9284,5544440.7283
e938534f-9d00-4d87-8d20-151d68ab8dc5,83,6103,6,,HRM,-7078866.3021,5570575.7224
b4adfe6d-7938-4225-a9ad-c40ba935e63a,84,40684,1,,HRM,-7076411.0891,5572292.5788
bc40c57d-5824-4f27-92f9-8f41c472e740,85,73979,5,,HRM,-7068511.8212,5570026.9422
15fc0973-e3f5-4b67-b276-acaeb952e54e,86,9852,2,,HRM,-7049751.8392,5565580.6123
e86ccb7d-75be-4815-ac95-798d53264451,87,76855,1,,HRM,-7094634.1972,5587973.5929
b7a46867-7c85-4801-b09f-8108da8fb52e,88,5680,9,,HRM,-7080010.2168,5566662.3448
9d210fba-3c9c-4f88-9a47-de919844f9ec,89,8285,0,NAME,HRM,-7071494.0697,5570253.8708
3dd59db3-e925-4308-a340-137e6088c518,90,43290,1,,HRM,-7072401.2197,5570045.0267
e3ff5e16-f2c6-4dfb-b692-05ab6ca8dc31,91,8079,1,,HRM,-7072596.1922,5573329.5472
c6cebaa9-4d9d-4344-8e7e-728ed9b3f03f,92,7537,1,,HRM,-7074018.5507,5580612.2992
2b5f6915-22eb-4fea-86e2-3662eaf16680,93,9184,1,,HRM,-7065394.592,5617702.3807
d59b8063-5058-4426-8932-f740a05a5b93,94,10045,1,,HRM,-7045229.3949,5616349.2771
a9cb819d-4c64-4681-be46-530ca4dc9b46,95,5652,1,,HRM,-7080071.7982,5565363.665
8432ed87-0541-4ec5-baf1-b3562e378ad4,96,9708,1,,HRM,-7055916.5792,5580718.2758
fb77a955-ad61-4b4e-92a9-e0497e811386,97,76597,1,,HRM,-7090174.8535,5574188.0328
039fc6c7-bd29-4362-8f3a-11fc27a5400e,98,5977,1,,HRM,-7079272.0088,5564755.7565
7ef18c99-7d12-453d-a5db-05a8216d06cd,99,10777,0,GSA,HRM,-7002881.8109,5586274.9896
fe274837-995e-40fe-a976-836e64898629,100,1046,1,,HRM,-7101562.0893,5570829.6877
30903da0-de58-44ee-a61b-f356901ad4e6,101,5051,1,,HRM,-7081328.3278,5561626.3674
2fe144df-6f8e-49bd-8d62-3e19f5370724,102,10582,0,GSA,HRM,-7018977.1989,5577981.5927
e6240121-b7c1-4756-8566-f8ae74698ce5,103,654,6,,HRM,-7108614.8973,5574811.1496
15b753ea-9805-4de1-a2dd-71954f4582e5,104,6032,1,,HRM,-7079071.0956,5570967.974
dc505e0e-16bd-4f9d-8efe-e24941edfd00,105,3517,2,,HRM,-7085852.0253,5570220.2801
2a80ecc3-1188-40ef-913a-17a1593e124f,106,1872,1,,HRM,-7092693.532,5549428.3543
785a15d3-7c8b-4f47-8f7f-91b3c639ce68,107,47737,2,,HRM,-7065567.2676,5561017.3712
4459cc1a-0866-4c93-be38-f256364eca39,108,7318,1,,HRM,-7074906.3877,5572230.609
71b142a0-0a54-4002-8870-bad5786d7358,109,10817,0,GSA,HRM,-6996997.6295,5580279.4513
fe3f5b89-dfc8-43f7-9657-b23608c80f50,110,10892,1,,HRM,-6983295.5116,5588447.2761
6334cf46-9cc5-4e1e-9896-c148d8ec1f61,111,11223,1,,HRM,-6920242.7234,5615434.9767
6b36251a-efc2-4cf8-afb8-53284cdfaf3d,112,3508,1,,HRM,-7085875.0727,5569899.4652
